id;questionusageid;slot;behaviour;questionid;variant;maxmark;minfraction;maxfraction;flagged;questionsummary;rightanswer;responsesummary;timemodified
10539;10078;1;deferredfeedback;20;1;"1.0000000";"0.0000000";"1.0000000";"0";"Wie lässt sich Learning Analytics definieren?

: Sammlung, Analyse, Nutzung und Bereitstellung von durch Studierende generierten Daten, um Unterstützung für Lernende zu schaffen.

; Ein Prozess, um Bildungsinstitutionen die Daten für die operative und finanzielle Entscheidungsfindung bereitzustellen

; Daten von Studierenden über ihr Lernverhalten in Lernmanagementsystemen werden gesammelt, um den Lernerfolg zu verbessern.
; Die Hauptzielgruppe sind Verwaltung und leitende Angestellte der Bildungsinstitutionen.

; Die Hauptzielgruppe sind Lernende und Lehrende der Bildungsinstitutionen.

";"Sammlung, Analyse, Nutzung und Bereitstellung von durch Studierende generierten Daten, um Unterstützung für Lernende zu schaffen.

; Daten von Studierenden über ihr Lernverhalten in Lernmanagementsystemen werden gesammelt, um den Lernerfolg zu verbessern.
; Die Hauptzielgruppe sind Lernende und Lehrende der Bildungsinstitutionen.

";;1665996205
10540;10078;2;deferredfeedback;3;1;"1.0000000";"0.0000000";"1.0000000";"0";"Welche Zwecke von Learning Analytics dienen primär den Studierenden?

: Wahrung der Studierendenidentität und -individualität

; Personalisierung und Erhöhung der inhaltlichen Relevanz

; Berichtszwecke (z.B. Studienerfolg, Durchsatz)

; Betrieb der Universität ökonomisch optimieren
; Studienförderung

; Abschlussquoten maximieren (allgemein und für Benachteiligte)

";"Wahrung der Studierendenidentität und -individualität

; Personalisierung und Erhöhung der inhaltlichen Relevanz

; Studienförderung

; Abschlussquoten maximieren (allgemein und für Benachteiligte)

";;1665996205
10541;10078;3;deferredfeedback;5;1;"1.0000000";"0.0000000";"1.0000000";"0";"Inwiefern kann man von einer Verpflichtung von Bildungsinstitutionen sprechen, Bildungsdaten auszuwerten?

: Insofern, dass Bildungsinstitutionen ethisch verpflichtet sind, auf der Grundlage der durch Analysen gewonnenen Erkenntnisse zu handeln.

; Insofern, dass Bildungsinstitutionen gesetzlich verpflichtet sind, Learning Analytics einzusetzen.

";"Insofern, dass Bildungsinstitutionen ethisch verpflichtet sind, auf der Grundlage der durch Analysen gewonnenen Erkenntnisse zu handeln.

";;1665996205
10542;10078;4;deferredfeedback;6;1;"1.0000000";"0.0000000";"1.0000000";"0";"Warum ist es wichtig, wie die Studierenden Zweck und Motivation der Einrichtung für den Einsatz von Learning Analytics wahrnehmen?

: Um die Abschlussquoten von benachteiligten Studierenden zu verbessern

; Um positive Beziehungen zu den Studierenden zu pflegen

; Damit Studierende eine solche Überwachung befürworten

; Um die Zahl der Studierenden, die einen Abschluss erreichen, zu maximieren

; Um die Gewinne zu maximieren

";"Um positive Beziehungen zu den Studierenden zu pflegen

; Damit Studierende eine solche Überwachung befürworten

";;1665996205
10543;10078;5;deferredfeedback;10;1;"1.0000000";"0.0000000";"1.0000000";"0";"Warum ist es für Lerninstitutionen schwierig, ein ganzheitliches, repräsentatives Bild der Lebenswelt von Studierenden zu erhalten?

: Aus der riesigen Menge an Aktivitätsdaten müssen pädagogisch relevante Informationen zunächst ermittelt werden.

; Ethische Leitlinien für die Datennutzung sind aufgrund verschiedener Datenschutzstandards verschiedener Standorte schwierig durchzusetzen.

; Viele Aktivitäten der Studierenden finden an verschiedenen Orten außerhalb des eigenen LMS statt.
; Die Korrektur von unvollständigen Daten kann zu verzerrenden Interpretationen führen.

; Es stehen zu wenig Datenanalysten und Tools zur Auswertung zur Verfügung.

";"Aus der riesigen Menge an Aktivitätsdaten müssen pädagogisch relevante Informationen zunächst ermittelt werden.

; Ethische Leitlinien für die Datennutzung sind aufgrund verschiedener Datenschutzstandards verschiedener Standorte schwierig durchzusetzen.

; Viele Aktivitäten der Studierenden finden an verschiedenen Orten außerhalb des eigenen LMS statt.
; Die Korrektur von unvollständigen Daten kann zu verzerrenden Interpretationen führen.

";;1665996205
10544;10078;6;deferredfeedback;12;1;"1.0000000";"0.0000000";"1.0000000";"0";"Welche Auswirkungen kann die Verhaltensmodellierung von Studierenden haben?

: Studierende werden nicht mehr als Individuen, sondern als Teil einer Kohorte betrachtet

; Studierende können nicht alle Eigenschaften der zugehörigen Kohorte teilen und dadurch in ihren Möglichkeiten eingeschränkt werden

; Individuelle Bedürfnisse werden weniger berücksichtigt

; Verhalten und Reaktionen von Institutionen gegenüber Studierenden wird einseitig eingeschränkt

";"Studierende werden nicht mehr als Individuen, sondern als Teil einer Kohorte betrachtet

; Studierende können nicht alle Eigenschaften der zugehörigen Kohorte teilen und dadurch in ihren Möglichkeiten eingeschränkt werden

; Individuelle Bedürfnisse werden weniger berücksichtigt

; Verhalten und Reaktionen von Institutionen gegenüber Studierenden wird einseitig eingeschränkt

";;1665996205
10545;10078;7;deferredfeedback;16;1;"1.0000000";"0.0000000";"1.0000000";"0";"Welche Gefahren bestehen für Studierende durch die Anwendung von Mustererkennung?: Die Macht in falschen Händen, Menschen auf Basis individueller Anreize, auf die sie reagieren, zu manipulieren

; Studierenden können weniger außerhalb der auferlegten Algorithmen und Modelle handeln.

; Aktuelle Klischees und Vorurteile werden widergespiegelt und aufrecht erhalten.

; Die dynamische Natur der Studierenden wird missachtet.

; Autopropaganda, d.h. die Indoktrinierung mit eigenen Ideen und die Verstärkung des Verlangens nach Dingen, die uns vertraut sind

; Dass Individuen in vergangenen Entscheidungen gefangen bleiben

";"Die Macht in falschen Händen, Menschen auf Basis individueller Anreize, auf die sie reagieren, zu manipulieren

; Studierenden können weniger außerhalb der auferlegten Algorithmen und Modelle handeln.

; Aktuelle Klischees und Vorurteile werden widergespiegelt und aufrecht erhalten.

; Die dynamische Natur der Studierenden wird missachtet.

; Autopropaganda, d.h. die Indoktrinierung mit eigenen Ideen und die Verstärkung des Verlangens nach Dingen, die uns vertraut sind

; Dass Individuen in vergangenen Entscheidungen gefangen bleiben

";;1665996205
10546;10078;8;deferredfeedback;18;1;"1.0000000";"0.0000000";"1.0000000";"0";"Wie könnten sowohl das Potenzial von Learning Analytics als auch die damit verbundenen ethischen Herausforderungen angegangen werden?

: Durch die Formulierung von institutionellen Verhaltenskodizes

; Indem die Privatsphäre der Studierenden durch einen stark regulierten Zugang zu Datensätzen gewährleistet wird

; Durch eine Deregulierung von institutionellen Verhaltenskodizes, da Learning Analytics durch den Verwaltungsaufwand durch Einwilligungserklärungen und Transparenzanforderungen so gut wie unmöglich wird

; Indem sowohl der Zugang zu Datensätzen (z. B. zu Forschungs-, Rechenschafts- oder institutionellen Verbesserungszwecken) als auch die Wahrung der Privatsphäre der Studierenden ermöglicht bzw. gesichert werden.

";"Durch die Formulierung von institutionellen Verhaltenskodizes

; Indem sowohl der Zugang zu Datensätzen (z. B. zu Forschungs-, Rechenschafts- oder institutionellen Verbesserungszwecken) als auch die Wahrung der Privatsphäre der Studierenden ermöglicht bzw. gesichert werden.

";;1665996205
10623;10136;1;deferredfeedback;20;1;"1.0000000";"0.0000000";"1.0000000";"0";"Wie lässt sich Learning Analytics definieren?

: Sammlung, Analyse, Nutzung und Bereitstellung von durch Studierende generierten Daten, um Unterstützung für Lernende zu schaffen.

; Ein Prozess, um Bildungsinstitutionen die Daten für die operative und finanzielle Entscheidungsfindung bereitzustellen

; Die Hauptzielgruppe sind Lernende und Lehrende der Bildungsinstitutionen.

; Daten von Studierenden über ihr Lernverhalten in Lernmanagementsystemen werden gesammelt, um den Lernerfolg zu verbessern.
; Die Hauptzielgruppe sind Verwaltung und leitende Angestellte der Bildungsinstitutionen.

";"Sammlung, Analyse, Nutzung und Bereitstellung von durch Studierende generierten Daten, um Unterstützung für Lernende zu schaffen.

; Die Hauptzielgruppe sind Lernende und Lehrende der Bildungsinstitutionen.

; Daten von Studierenden über ihr Lernverhalten in Lernmanagementsystemen werden gesammelt, um den Lernerfolg zu verbessern.
";"Sammlung, Analyse, Nutzung und Bereitstellung von durch Studierende generierten Daten, um Unterstützung für Lernende zu schaffen.

; Die Hauptzielgruppe sind Lernende und Lehrende der Bildungsinstitutionen.

";1665059060
10624;10136;2;deferredfeedback;3;1;"1.0000000";"0.0000000";"1.0000000";"0";"Welche Zwecke von Learning Analytics dienen primär den Studierenden?

: Personalisierung und Erhöhung der inhaltlichen Relevanz

; Berichtszwecke (z.B. Studienerfolg, Durchsatz)

; Betrieb der Universität ökonomisch optimieren
; Abschlussquoten maximieren (allgemein und für Benachteiligte)

; Wahrung der Studierendenidentität und -individualität

; Studienförderung

";"Personalisierung und Erhöhung der inhaltlichen Relevanz

; Abschlussquoten maximieren (allgemein und für Benachteiligte)

; Wahrung der Studierendenidentität und -individualität

; Studienförderung

";"Berichtszwecke (z.B. Studienerfolg, Durchsatz)

; Wahrung der Studierendenidentität und -individualität

";1665059060
